headline,label
其他 評論 確實 是 喔 六 個 人 的 鏡頭 然後 一點點 血腥 我 個人 是 覺得 劇情 蠻 樸實 的 沒有 什麼 讓 人 新鮮 的 元素 在 主要 氣氛 營造 然後 風景 還 不錯 說真的 就是 靠 裘莉 的 電影 其他 人 演技 只 能 算 普通 有 空閒 再 來 看 就 好 不用 刻意 花錢 跑 電影院 的 電影 ,0.0
不 懂 分數 為 啥 這麼 高 看 完全 覺得 有 劇場版 的 畫面 卻 沒有 劇場版 的 劇情 完全 可以 區分為 兩 個 不相干 的 內容 前面 打 得 你死我活 打完 發現 炎柱 畫面 有點 少 再 補 一下 畫面 前 後面 劇情 完全 不 搭 為啥 出場 啥 都 沒 講 是 只 求 一 個 結局 還是 補 時間 ,0.0
真的 要 帶 面紙 進 電影院 後面 超感人 雖然 我 還 沒 看過 韓版 的 但 邱澤 跟 許瑋甯 的 演技 是 值得 肯定 又 再次 被 邱澤圈 粉 ,1.0
覺得 很 好看 節奏 很 明快 故事 感人 動畫 很 美 ,1.0
畫面 不錯 劇情 設定 普普通通 畫面 不錯 劇情 設定 普普通 通 ,0.0
好看 邱澤 演技 很 棒 值得 花錢 進 電影院 支持 ,1.0
劇情 場景 範圍 不 大 不用 花 太多 時間 去 思考 讓 觀眾 更 投入 在 男女 主角 的 感情 大綱 上 值得 二 刷 眼淚片 金牛 女 啦 ,1.0
很 好看 的 一 部 電影 不管 是 警匪 槍戰迷 還是 傑森史塔迷 都 不能 錯過 ,1.0
非常 發 人省思 的 作品 觀影 時 隔壁 的 伯伯 問 我 是否 因為 攝影 而 來 更 令 人 深切 感受 尤金 的 影響力 他 透過 鏡頭 與 照片 述諸 的 故事 是 全 世界 人類 的 瑰寶 ,1.0
劇情 還 算 可以 整 部 電影 的 節奏 還 不錯 只是 為何 要 把 新 做 的 刀子 丟出去 你 有 想 過 幫 你 做 刀 的 人 的 感受 嗎 哈哈 ,0.0
聽到 很多 人 推薦 去 看 但 個人 覺得 劇情 很 薄弱 哭 不 出來 ,0.0
邱澤 跟 瑋甯 都 演 的 不錯 可惜 劇情 可以 再 細膩 一點 不過 我 打 分 ,1.0
整 部 片 演 的 像 死神 來 了 一 堆 機關 根本 沒有 活命 的 機會 最後 也 只 是 菜鳥 警官 的 報仇 ,0.0
這 片 的 價值 就 只有 幫助 寒冬 的 電影院 補血 而已 ,0.0
結論 好看 傑森 史塔森 真的 帥 霸氣 劇情 或許 太過 牽強 但 電影 就 是 跳脫 不可能 中 的 可能 將 極端 的 條件 加 在一起 拍出 動作 爽片 值得 進 電影院 看 ,1.0
普通 而已 太 過度 吹捧 這 部 電影 ,0.0
邱澤 很 會 演 好笑 又 感動 感傷 忍不住 眼框 泛淚 值得 一 看 ,1.0
很 有 台味 演員 年齡 演出 超台 的 表演 美 賣 啦 ,1.0
哭爛 哭爛 哭爛 哭爛 ,1.0
終於 有 像樣 的 電影 動畫 有 水準 可惜 龍 有點 怪怪 的 ,1.0
這 次 的 迪士尼 動畫 畫面 很 精緻 動作 場面 精彩 音樂 很 好聽 劇情 很 棒 再 加上 滿 感人 的 很 好看 ,1.0
照片 會 帶走 被 攝 者 一 部份 靈魂 同時 也 會 帶走 攝影師 靈魂 的 一 部份 ,1.0
